kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.999,0.644,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,0.987,0.873,0.885,District,district,SAC_DB2Value
1 - load_factor,0.983,0.842,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,0.72,0.104,0.144,District,district,SAC_DB2Value
average_daily_peak,0.979,10.561,10.782,District,district,SAC_DB2Value
carbon_emissions,0.97,3297.883,3412.055,District,district,SAC_DB2Value
cost,0.962,3518.048,3670.012,District,district,SAC_DB2Value
electricity_consumption,0.971,6465.479,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,0.963,36084.419,37460.062,District,district,SAC_DB2Value
ramping,1.082,23363.059,21583.846,District,district,SAC_DB2Value
electricity_consumption,0.981,4441.298,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,0.979,2284.819,2332.712,Building_3,building,SAC_DB2Value
cost,0.968,2502.803,2584.57,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,0.72,0.125,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,1.01,5707.45,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,1.009,2907.811,2881.739,Building_5,building,SAC_DB2Value
cost,1.002,3077.313,3071.658,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,0.729,0.089,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,0.969,5369.393,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,0.968,2719.41,2810.394,Building_7,building,SAC_DB2Value
cost,0.958,2817.025,2939.918,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,0.757,0.164,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,0.948,5682.83,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,0.946,2900.672,3064.868,Building_8,building,SAC_DB2Value
cost,0.939,3094.425,3296.626,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,0.73,0.11,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,0.969,7402.079,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,0.969,3779.758,3901.761,Building_11,building,SAC_DB2Value
cost,0.961,4042.978,4206.557,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,0.756,0.058,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,0.948,10189.822,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,0.948,5194.826,5480.857,Building_17,building,SAC_DB2Value
cost,0.941,5573.745,5920.74,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,0.627,0.079,0.127,Building_17,building,SAC_DB2Value
1 - average_daily_renewable_share,0.984,0.635,0.645,District,district,SAC_DB2Value Best
1 - average_daily_renewable_share_grid,0.972,0.86,0.885,District,district,SAC_DB2Value Best
1 - load_factor,0.977,0.837,0.857,District,district,SAC_DB2Value Best
1 - used_pv_of_total_share,0.697,0.101,0.144,District,district,SAC_DB2Value Best
average_daily_peak,0.908,9.788,10.782,District,district,SAC_DB2Value Best
carbon_emissions,0.936,3196.719,3412.055,District,district,SAC_DB2Value Best
cost,0.932,3423.784,3670.012,District,district,SAC_DB2Value Best
electricity_consumption,0.936,6262.33,6683.189,District,district,SAC_DB2Value Best
fossil_energy_consumption,0.93,34843.243,37460.062,District,district,SAC_DB2Value Best
ramping,0.977,21078.726,21583.846,District,district,SAC_DB2Value Best
electricity_consumption,0.913,4132.61,4528.42,Building_3,building,SAC_DB2Value Best
carbon_emissions,0.913,2130.379,2332.712,Building_3,building,SAC_DB2Value Best
cost,0.912,2356.382,2584.57,Building_3,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.761,0.132,0.173,Building_3,building,SAC_DB2Value Best
electricity_consumption,0.942,5321.839,5652.286,Building_5,building,SAC_DB2Value Best
carbon_emissions,0.942,2713.846,2881.739,Building_5,building,SAC_DB2Value Best
cost,0.94,2888.101,3071.658,Building_5,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.706,0.086,0.122,Building_5,building,SAC_DB2Value Best
electricity_consumption,0.968,5364.567,5540.207,Building_7,building,SAC_DB2Value Best
carbon_emissions,0.967,2718.73,2810.394,Building_7,building,SAC_DB2Value Best
cost,0.96,2823.77,2939.918,Building_7,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.715,0.155,0.216,Building_7,building,SAC_DB2Value Best
electricity_consumption,0.919,5512.824,5997.7,Building_8,building,SAC_DB2Value Best
carbon_emissions,0.919,2816.934,3064.868,Building_8,building,SAC_DB2Value Best
cost,0.917,3021.685,3296.626,Building_8,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.721,0.109,0.151,Building_8,building,SAC_DB2Value Best
electricity_consumption,0.93,7104.039,7635.149,Building_11,building,SAC_DB2Value Best
carbon_emissions,0.931,3631.639,3901.761,Building_11,building,SAC_DB2Value Best
cost,0.929,3906.799,4206.557,Building_11,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.698,0.053,0.076,Building_11,building,SAC_DB2Value Best
electricity_consumption,0.943,10138.103,10745.375,Building_17,building,SAC_DB2Value Best
carbon_emissions,0.943,5168.784,5480.857,Building_17,building,SAC_DB2Value Best
cost,0.937,5545.964,5920.74,Building_17,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.578,0.073,0.127,Building_17,building,SAC_DB2Value Best
