kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.011,0.652,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,0.986,0.873,0.885,District,district,SAC_DB2Value
1 - load_factor,1.007,0.863,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,0.798,0.117,0.144,District,district,SAC_DB2Value
average_daily_peak,1.042,11.239,10.782,District,district,SAC_DB2Value
carbon_emissions,1.025,3465.108,3412.055,District,district,SAC_DB2Value
cost,1.028,3734.612,3670.012,District,district,SAC_DB2Value
electricity_consumption,1.024,6782.877,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,1.013,37951.761,37460.062,District,district,SAC_DB2Value
ramping,1.062,22918.704,21583.846,District,district,SAC_DB2Value
electricity_consumption,1.059,4795.547,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,1.06,2473.42,2332.712,Building_3,building,SAC_DB2Value
cost,1.065,2752.166,2584.57,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,0.863,0.15,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,1.049,5931.402,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,1.051,3027.86,2881.739,Building_5,building,SAC_DB2Value
cost,1.056,3244.923,3071.658,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,0.819,0.1,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,1.117,6185.958,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,1.118,3141.692,2810.394,Building_7,building,SAC_DB2Value
cost,1.119,3291.132,2939.918,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,0.886,0.192,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,0.962,5769.035,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,0.962,2949.417,3064.868,Building_8,building,SAC_DB2Value
cost,0.965,3181.482,3296.626,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,0.77,0.116,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,0.975,7441.481,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,0.975,3803.569,3901.761,Building_11,building,SAC_DB2Value
cost,0.975,4100.321,4206.557,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,0.784,0.06,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,0.984,10573.84,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,0.984,5394.688,5480.857,Building_17,building,SAC_DB2Value
cost,0.986,5837.648,5920.74,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,0.666,0.084,0.127,Building_17,building,SAC_DB2Value
1 - average_daily_renewable_share,0.979,0.631,0.645,District,district,SAC_DB2Value Best
1 - average_daily_renewable_share_grid,0.972,0.86,0.885,District,district,SAC_DB2Value Best
1 - load_factor,0.979,0.839,0.857,District,district,SAC_DB2Value Best
1 - used_pv_of_total_share,0.76,0.111,0.144,District,district,SAC_DB2Value Best
average_daily_peak,0.894,9.635,10.782,District,district,SAC_DB2Value Best
carbon_emissions,0.92,3151.516,3412.055,District,district,SAC_DB2Value Best
cost,0.919,3387.03,3670.012,District,district,SAC_DB2Value Best
electricity_consumption,0.919,6170.189,6683.189,District,district,SAC_DB2Value Best
fossil_energy_consumption,0.916,34301.17,37460.062,District,district,SAC_DB2Value Best
ramping,0.944,20366.888,21583.846,District,district,SAC_DB2Value Best
electricity_consumption,0.896,4056.139,4528.42,Building_3,building,SAC_DB2Value Best
carbon_emissions,0.898,2094.299,2332.712,Building_3,building,SAC_DB2Value Best
cost,0.903,2333.443,2584.57,Building_3,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.808,0.14,0.173,Building_3,building,SAC_DB2Value Best
electricity_consumption,0.92,5202.507,5652.286,Building_5,building,SAC_DB2Value Best
carbon_emissions,0.921,2653.81,2881.739,Building_5,building,SAC_DB2Value Best
cost,0.921,2828.347,3071.658,Building_5,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.745,0.091,0.122,Building_5,building,SAC_DB2Value Best
electricity_consumption,0.91,5040.862,5540.207,Building_7,building,SAC_DB2Value Best
carbon_emissions,0.909,2554.942,2810.394,Building_7,building,SAC_DB2Value Best
cost,0.905,2661.024,2939.918,Building_7,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.793,0.172,0.216,Building_7,building,SAC_DB2Value Best
electricity_consumption,0.92,5516.854,5997.7,Building_8,building,SAC_DB2Value Best
carbon_emissions,0.92,2819.327,3064.868,Building_8,building,SAC_DB2Value Best
cost,0.918,3024.744,3296.626,Building_8,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.777,0.117,0.151,Building_8,building,SAC_DB2Value Best
electricity_consumption,0.928,7088.573,7635.149,Building_11,building,SAC_DB2Value Best
carbon_emissions,0.929,3626.076,3901.761,Building_11,building,SAC_DB2Value Best
cost,0.93,3912.518,4206.557,Building_11,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.735,0.056,0.076,Building_11,building,SAC_DB2Value Best
electricity_consumption,0.941,10116.199,10745.375,Building_17,building,SAC_DB2Value Best
carbon_emissions,0.942,5160.643,5480.857,Building_17,building,SAC_DB2Value Best
cost,0.939,5562.107,5920.74,Building_17,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.704,0.089,0.127,Building_17,building,SAC_DB2Value Best
