kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3867.753,3653.428,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39925.815,37461.364,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2807.561,2573.812,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3269.959,3057.456,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3184.759,2926.063,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3497.941,3282.401,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4356.982,4187.857,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6089.315,5892.977,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.019,0.657,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,0.998,0.884,0.885,District,district,SAC_DB2Value
1 - load_factor,0.981,0.84,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,0.97,0.138,0.144,District,district,SAC_DB2Value
average_daily_peak,0.979,10.558,10.782,District,district,SAC_DB2Value
carbon_emissions,1.044,3561.776,3412.055,District,district,SAC_DB2Value
cost,1.029,3762.513,3653.428,District,district,SAC_DB2Value
electricity_consumption,1.046,6992.774,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,1.048,39245.89,37461.364,District,district,SAC_DB2Value
ramping,1.054,22751.268,21583.846,District,district,SAC_DB2Value
electricity_consumption,1.056,4780.989,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,1.052,2454.879,2332.712,Building_3,building,SAC_DB2Value
cost,1.035,2664.351,2573.812,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,0.956,0.166,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,1.057,5972.188,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,1.054,3037.576,2881.739,Building_5,building,SAC_DB2Value
cost,1.042,3186.401,3057.456,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,0.973,0.119,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,1.036,5741.193,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,1.035,2909.45,2810.394,Building_7,building,SAC_DB2Value
cost,1.029,3010.953,2926.063,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,0.864,0.187,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,1.051,6306.065,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,1.047,3208.869,3064.868,Building_8,building,SAC_DB2Value
cost,1.025,3365.483,3282.401,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,0.957,0.144,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,1.016,7757.235,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,1.013,3953.067,3901.761,Building_11,building,SAC_DB2Value
cost,0.999,4181.926,4187.857,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,1.005,0.076,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,1.061,11398.972,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,1.059,5806.814,5480.857,Building_17,building,SAC_DB2Value
cost,1.046,6165.966,5892.977,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,1.064,0.135,0.127,Building_17,building,SAC_DB2Value
1 - average_daily_renewable_share,0.987,0.637,0.645,District,district,SAC_DB2Value Best
1 - average_daily_renewable_share_grid,0.982,0.869,0.885,District,district,SAC_DB2Value Best
1 - load_factor,0.983,0.843,0.857,District,district,SAC_DB2Value Best
1 - used_pv_of_total_share,0.806,0.116,0.144,District,district,SAC_DB2Value Best
average_daily_peak,0.923,9.949,10.782,District,district,SAC_DB2Value Best
carbon_emissions,0.943,3238.439,3412.055,District,district,SAC_DB2Value Best
cost,0.941,3458.121,3653.428,District,district,SAC_DB2Value Best
electricity_consumption,0.943,6342.851,6683.189,District,district,SAC_DB2Value Best
fossil_energy_consumption,0.944,35379.206,37461.364,District,district,SAC_DB2Value Best
ramping,0.949,20489.734,21583.846,District,district,SAC_DB2Value Best
electricity_consumption,0.904,4091.451,4528.42,Building_3,building,SAC_DB2Value Best
carbon_emissions,0.905,2110.858,2332.712,Building_3,building,SAC_DB2Value Best
cost,0.906,2332.855,2573.812,Building_3,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.808,0.14,0.173,Building_3,building,SAC_DB2Value Best
electricity_consumption,0.962,5438.754,5652.286,Building_5,building,SAC_DB2Value Best
carbon_emissions,0.963,2774.611,2881.739,Building_5,building,SAC_DB2Value Best
cost,0.963,2944.314,3057.456,Building_5,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.837,0.102,0.122,Building_5,building,SAC_DB2Value Best
electricity_consumption,0.926,5131.091,5540.207,Building_7,building,SAC_DB2Value Best
carbon_emissions,0.925,2600.413,2810.394,Building_7,building,SAC_DB2Value Best
cost,0.92,2690.802,2926.063,Building_7,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.786,0.17,0.216,Building_7,building,SAC_DB2Value Best
electricity_consumption,0.935,5609.236,5997.7,Building_8,building,SAC_DB2Value Best
carbon_emissions,0.935,2866.947,3064.868,Building_8,building,SAC_DB2Value Best
cost,0.933,3063.286,3282.401,Building_8,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.822,0.124,0.151,Building_8,building,SAC_DB2Value Best
electricity_consumption,0.944,7210.035,7635.149,Building_11,building,SAC_DB2Value Best
carbon_emissions,0.945,3688.004,3901.761,Building_11,building,SAC_DB2Value Best
cost,0.946,3962.466,4187.857,Building_11,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.799,0.061,0.076,Building_11,building,SAC_DB2Value Best
electricity_consumption,0.984,10576.538,10745.375,Building_17,building,SAC_DB2Value Best
carbon_emissions,0.983,5389.798,5480.857,Building_17,building,SAC_DB2Value Best
cost,0.977,5755.004,5892.977,Building_17,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.786,0.1,0.127,Building_17,building,SAC_DB2Value Best
