kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3867.753,3653.428,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39925.815,37461.364,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2807.561,2573.812,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3269.959,3057.456,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3184.759,2926.063,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3497.941,3282.401,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4356.982,4187.857,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6089.315,5892.977,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.001,0.645,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,1.0,0.885,0.885,District,district,SAC_DB2Value
1 - load_factor,1.009,0.864,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,1.001,0.144,0.144,District,district,SAC_DB2Value
average_daily_peak,1.015,10.946,10.782,District,district,SAC_DB2Value
carbon_emissions,1.006,3428.205,3412.055,District,district,SAC_DB2Value
cost,1.008,3674.816,3653.428,District,district,SAC_DB2Value
electricity_consumption,1.006,6713.334,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,1.005,37641.47,37461.364,District,district,SAC_DB2Value
ramping,1.015,21913.869,21583.846,District,district,SAC_DB2Value
electricity_consumption,1.023,4633.527,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,1.025,2390.487,2332.712,Building_3,building,SAC_DB2Value
cost,1.032,2656.672,2573.812,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,1.007,0.174,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,1.013,5727.433,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,1.013,2920.606,2881.739,Building_5,building,SAC_DB2Value
cost,1.015,3102.919,3057.456,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,1.0,0.122,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,1.0,5540.207,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,1.0,2810.394,2810.394,Building_7,building,SAC_DB2Value
cost,1.0,2926.063,2926.063,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,1.0,0.216,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,1.0,5997.7,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,1.0,3064.868,3064.868,Building_8,building,SAC_DB2Value
cost,1.0,3282.401,3282.401,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,1.0,0.151,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,1.0,7635.149,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,1.0,3901.761,3901.761,Building_11,building,SAC_DB2Value
cost,1.0,4187.857,4187.857,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,1.0,0.076,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,1.0,10745.988,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,1.0,5481.116,5480.857,Building_17,building,SAC_DB2Value
cost,1.0,5892.986,5892.977,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,1.0,0.127,0.127,Building_17,building,SAC_DB2Value
1 - average_daily_renewable_share,0.986,0.635,0.645,District,district,SAC_DB2Value Best
1 - average_daily_renewable_share_grid,0.974,0.862,0.885,District,district,SAC_DB2Value Best
1 - load_factor,0.978,0.838,0.857,District,district,SAC_DB2Value Best
1 - used_pv_of_total_share,0.753,0.109,0.144,District,district,SAC_DB2Value Best
average_daily_peak,0.889,9.586,10.782,District,district,SAC_DB2Value Best
carbon_emissions,0.93,3187.667,3412.055,District,district,SAC_DB2Value Best
cost,0.929,3409.281,3653.428,District,district,SAC_DB2Value Best
electricity_consumption,0.929,6241.315,6683.189,District,district,SAC_DB2Value Best
fossil_energy_consumption,0.927,34717.715,37461.364,District,district,SAC_DB2Value Best
ramping,0.959,20700.344,21583.846,District,district,SAC_DB2Value Best
electricity_consumption,0.873,3954.179,4528.42,Building_3,building,SAC_DB2Value Best
carbon_emissions,0.875,2040.922,2332.712,Building_3,building,SAC_DB2Value Best
cost,0.878,2261.085,2573.812,Building_3,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.766,0.133,0.173,Building_3,building,SAC_DB2Value Best
electricity_consumption,0.934,5279.408,5652.286,Building_5,building,SAC_DB2Value Best
carbon_emissions,0.935,2693.429,2881.739,Building_5,building,SAC_DB2Value Best
cost,0.936,2860.29,3057.456,Building_5,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.776,0.095,0.122,Building_5,building,SAC_DB2Value Best
electricity_consumption,0.974,5393.996,5540.207,Building_7,building,SAC_DB2Value Best
carbon_emissions,0.973,2733.322,2810.394,Building_7,building,SAC_DB2Value Best
cost,0.964,2820.936,2926.063,Building_7,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.751,0.162,0.216,Building_7,building,SAC_DB2Value Best
electricity_consumption,0.906,5432.101,5997.7,Building_8,building,SAC_DB2Value Best
carbon_emissions,0.906,2776.606,3064.868,Building_8,building,SAC_DB2Value Best
cost,0.904,2968.473,3282.401,Building_8,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.724,0.109,0.151,Building_8,building,SAC_DB2Value Best
electricity_consumption,0.932,7113.886,7635.149,Building_11,building,SAC_DB2Value Best
carbon_emissions,0.932,3638.213,3901.761,Building_11,building,SAC_DB2Value Best
cost,0.933,3907.927,4187.857,Building_11,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.727,0.055,0.076,Building_11,building,SAC_DB2Value Best
electricity_consumption,0.956,10274.317,10745.375,Building_17,building,SAC_DB2Value Best
carbon_emissions,0.957,5243.51,5480.857,Building_17,building,SAC_DB2Value Best
cost,0.957,5636.977,5892.977,Building_17,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.774,0.098,0.127,Building_17,building,SAC_DB2Value Best
