Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
7.0,24.0,7.0,0,,,,2.81915,0,0,0,0.0
8.0,1.0,1.0,0,,,,1.9281666666666664,0,0,0,0.0
8.0,2.0,1.0,0,,,,0.4758166666666665,0,0,0,0.0
8.0,3.0,1.0,0,,,,0.4582333333333334,0,0,0,0.0
8.0,4.0,1.0,0,,,,0.4460166666666667,0,0,0,0.0
8.0,5.0,1.0,0,,,,0.4658833333333335,0,0,0,0.0
8.0,6.0,1.0,0,,,,0.6710666666666666,0,0,0,29.299195286206082
8.0,7.0,1.0,0,,,,0.8447166666666668,0,0,0,87.03124633252033
8.0,8.0,1.0,0,,,,2.5932666666666666,0,0,0,156.98068462465153
8.0,9.0,1.0,0,,,,2.700883333333333,0,0,0,212.34682166264605
8.0,10.0,1.0,0,,,,2.0974,0,0,0,319.29729931229497
8.0,11.0,1.0,0,,,,2.502900000000001,0,0,0,344.30906188531856
8.0,12.0,1.0,0,,,,2.697933333333333,0,0,0,260.1103005697996
8.0,13.0,1.0,0,,,,2.1056833333333334,0,0,0,192.46964394499233
8.0,14.0,1.0,0,,,,0.1326333333333333,0,0,0,179.26857879392628
8.0,15.0,1.0,0,,,,0.6999999999999996,0,0,0,214.0394647369366
8.0,16.0,1.0,0,,,,0.2069,0,0,0,165.00480245216974
8.0,17.0,1.0,0,,,,1.6474000000000002,0,0,0,89.3727895777877
8.0,18.0,1.0,0,,,,1.086583333333334,0,0,0,52.65780635647204
8.0,19.0,1.0,0,,,,0.2216000066666665,0,0,0,21.1956676531571
8.0,20.0,1.0,0,,,,1.5579333583333332,0,0,0,0.0
8.0,21.0,1.0,0,,,,2.832316666666666,0,0,0,0.0
8.0,22.0,1.0,0,,,,0.6387666666666669,0,0,0,0.0
8.0,23.0,1.0,0,,,,0.7265166666666663,0,0,0,0.0
8.0,24.0,1.0,0,,,,2.649125,0,0,0,0.0
8.0,1.0,2.0,0,,,,0.4703166666666666,0,0,0,0.0
8.0,2.0,2.0,0,,,,0.4394500000000002,0,0,0,0.0
8.0,3.0,2.0,0,,,,0.4500499999999997,0,0,0,0.0
8.0,4.0,2.0,0,,,,0.8188833333333332,0,0,0,0.0
8.0,5.0,2.0,0,,,,1.1225,0,0,0,0.0
8.0,6.0,2.0,0,,,,1.3846166666666673,0,0,0,30.70756199300586
8.0,7.0,2.0,0,,,,0.4598999999999999,0,0,0,73.06109004669521
8.0,8.0,2.0,0,,,,0.9788666666666666,0,0,0,98.56914672660017
8.0,9.0,2.0,0,,,,1.524316666666666,0,0,0,113.81180858845691
8.0,10.0,2.0,0,,,,1.8559666666666663,0,0,0,125.10037955179136
8.0,11.0,2.0,0,,,,2.223333333333333,0,0,0,250.63559878393863
8.0,12.0,2.0,0,,,,2.661716666666666,0,0,0,508.9908226204766
8.0,13.0,2.0,0,,,,2.869883333333333,0,0,0,716.0718285336227
8.0,14.0,2.0,0,,,,2.17205,0,0,0,863.4366746604468
8.0,15.0,2.0,0,,,,1.3411000000000004,0,0,0,959.7091098167145
8.0,16.0,2.0,0,,,,1.7706000000000006,0,0,0,971.7658399130005
8.0,17.0,2.0,0,,,,1.7263833333333332,0,0,0,902.2147031314823
8.0,18.0,2.0,0,,,,0.9555666666666665,0,0,0,739.3013657642557
8.0,19.0,2.0,0,,,,0.1682167132242832,0,0,0,425.5871838520918
8.0,20.0,2.0,0,,,,0.0630500749999981,0,0,0,0.0
8.0,21.0,2.0,0,,,,0.7734000249999992,0,0,0,0.0
8.0,22.0,2.0,0,,,,2.792933333333333,0,0,0,0.0
8.0,23.0,2.0,0,,,,2.7878499999999997,0,0,0,0.0
8.0,24.0,2.0,0,,,,1.9899,0,0,0,0.0
8.0,1.0,3.0,0,,,,0.4201833333333332,0,0,0,0.0
