Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
7.0,24.0,7.0,0,,,,1.5114333333333336,0,0,0,0.74
8.0,1.0,1.0,0,,,,1.2558833333333332,0,0,0,0.74
8.0,2.0,1.0,0,,,,1.2430500000000002,0,0,0,0.74
8.0,3.0,1.0,0,,,,1.2759500000000001,0,0,0,0.74
8.0,4.0,1.0,0,,,,1.2526166666666665,0,0,0,0.74
8.0,5.0,1.0,0,,,,1.0432166666666665,0,0,0,0.74
8.0,6.0,1.0,0,,,,1.2357833333333335,0,0,0,32.76619286013357
8.0,7.0,1.0,0,,,,1.7205,0,0,0,95.87160524293738
8.0,8.0,1.0,0,,,,2.039583333333333,0,0,0,172.3315277533856
8.0,9.0,1.0,0,,,,2.4188,0,0,0,232.8508207025061
8.0,10.0,1.0,0,,,,2.9246333333333334,0,0,0,349.7556227024312
8.0,11.0,1.0,0,,,,2.807416666666666,0,0,0,377.0953337119225
8.0,12.0,1.0,0,,,,1.7779833333333332,0,0,0,285.05984460943876
8.0,13.0,1.0,0,,,,1.4105166666666666,0,0,0,211.1235916478422
8.0,14.0,1.0,0,,,,2.7411666666666665,0,0,0,196.69384863417412
8.0,15.0,1.0,0,,,,2.2673966634114584,0,0,0,234.7010050850826
8.0,16.0,1.0,0,,,,1.6894333333333331,0,0,0,181.10248349350857
8.0,17.0,1.0,0,,,,1.2588666666666668,0,0,0,98.43108562561467
8.0,18.0,1.0,0,,,,3.17805,0,0,0,58.29888670286802
8.0,19.0,1.0,0,,,,2.7058166666666668,0,0,0,23.908436314661767
8.0,20.0,1.0,0,,,,2.238883333333334,0,0,0,0.74
8.0,21.0,1.0,0,,,,3.346916666666667,0,0,0,0.74
8.0,22.0,1.0,0,,,,2.0188999999999995,0,0,0,0.74
8.0,23.0,1.0,0,,,,1.8387000000000002,0,0,0,0.74
8.0,24.0,1.0,0,,,,1.8009916666666663,0,0,0,0.74
8.0,1.0,2.0,0,,,,1.0462999999999998,0,0,0,0.74
8.0,2.0,2.0,0,,,,1.285683333333333,0,0,0,0.74
8.0,3.0,2.0,0,,,,1.0399833333333335,0,0,0,0.74
8.0,4.0,2.0,0,,,,1.0736666666666668,0,0,0,0.74
8.0,5.0,2.0,0,,,,1.0795999999999997,0,0,0,0.74
8.0,6.0,2.0,0,,,,1.0448499999999998,0,0,0,34.305642095143654
8.0,7.0,2.0,0,,,,1.2329500000000002,0,0,0,80.6011885940992
8.0,8.0,2.0,0,,,,1.4147500000000002,0,0,0,108.48338586053603
8.0,9.0,2.0,0,,,,1.6867666666666667,0,0,0,125.14474545492232
8.0,10.0,2.0,0,,,,2.2158833333333336,0,0,0,137.48399051798586
8.0,11.0,2.0,0,,,,2.3335166666666662,0,0,0,274.7032930481372
8.0,12.0,2.0,0,,,,2.520433333333334,0,0,0,557.1047086565504
8.0,13.0,2.0,0,,,,2.4241666666666664,0,0,0,783.459602306725
8.0,14.0,2.0,0,,,,2.374216666666667,0,0,0,944.5403056079352
8.0,15.0,2.0,0,,,,2.7171833333333333,0,0,0,1049.773215430578
8.0,16.0,2.0,0,,,,2.847616666666667,0,0,0,1062.9521153817323
8.0,17.0,2.0,0,,,,3.412283333333333,0,0,0,986.9275659547684
