Wind Speed [m/s],6h Prediction Wind Speed [m/s],12h Prediction Wind Speed [m/s],24h Prediction Wind Speed [m/s],Outdoor Drybulb Temperature [C],Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],6h Prediction Outdoor Drybulb Temperature [C],12h Prediction Outdoor Drybulb Temperature [C],24h Prediction Outdoor Drybulb Temperature [C],6h Prediction Relative Humidity [%],12h Prediction Relative Humidity [%],24h Prediction Relative Humidity [%],6h Prediction Diffuse Solar Radiation [W/m2],12h Prediction Diffuse Solar Radiation [W/m2],24h Prediction Diffuse Solar Radiation [W/m2],6h Prediction Direct Solar Radiation [W/m2],12h Prediction Direct Solar Radiation [W/m2],24h Prediction Direct Solar Radiation [W/m2]
0.4,0.17500000000000002,0.25,0.25,14.2,87.695,0.0,0.0,13.899999999999999,21.650000000000002,14.525,90.0125,68.28,98.905,31.5,247.5,0.0,8.0,14.75,0.0
0.35,0.15000000000000002,0.2,0.25,13.7,89.36,0.0,0.0,15.700000000000001,21.525,14.174999999999999,82.89750000000001,71.8675,99.13,87.25,184.0,0.0,53.25,8.75,0.0
0.4,0.15000000000000002,0.15000000000000002,0.25,13.45,90.52000000000001,0.0,0.0,17.625,21.025,13.975,75.67750000000001,77.0,99.62,149.5,172.75,0.0,250.75,5.5,0.0
0.35,0.2,0.15000000000000002,0.2,13.25,91.4,0.0,0.0,19.25,20.275,13.775,70.155,79.61250000000001,99.9825,202.75,201.5,0.0,116.5,8.5,0.0
0.3,0.2,0.2,0.25,13.0,93.215,0.0,0.0,20.400000000000002,19.650000000000002,13.55,67.405,88.25999999999999,100.0,305.0,160.5,0.0,117.75,2.5,0.0
0.2,0.2,0.15000000000000002,0.25,13.0,93.71000000000001,0.0,0.0,21.325000000000003,18.950000000000003,13.625,66.655,94.2675,100.0,316.25,90.5,0.0,97.5,0.0,0.0
0.17500000000000002,0.25,0.15000000000000002,0.25,13.899999999999999,90.0125,31.5,8.0,21.650000000000002,18.025,14.25,68.28,95.55000000000001,98.595,247.5,55.25,32.5,14.75,0.0,203.75
0.15000000000000002,0.2,0.15000000000000002,0.25,15.700000000000001,82.89750000000001,87.25,53.25,21.525,17.6,15.4,71.8675,96.41,96.19,184.0,23.75,69.0,8.75,0.0,528.0
0.15000000000000002,0.15000000000000002,0.2,0.25,17.625,75.67750000000001,149.5,250.75,21.025,16.55,16.900000000000002,77.0,98.275,89.53,172.75,0.0,87.75,5.5,0.0,690.75
0.2,0.15000000000000002,0.25,0.25,19.25,70.155,202.75,116.5,20.275,16.174999999999997,18.725,79.61250000000001,98.465,79.6275,201.5,0.0,96.5,8.5,0.0,797.25
0.2,0.2,0.25,0.30000000000000004,20.400000000000002,67.405,305.0,117.75,19.650000000000002,15.55,20.125,88.25999999999999,98.73750000000001,67.63000000000001,160.5,0.0,102.25,2.5,0.0,857.5
0.2,0.15000000000000002,0.25,0.30000000000000004,21.325000000000003,66.655,316.25,97.5,18.950000000000003,15.025,20.95,94.2675,98.82,60.785,90.5,0.0,102.25,0.0,0.0,898.75
0.25,0.15000000000000002,0.25,0.30000000000000004,21.650000000000002,68.28,247.5,14.75,18.025,14.525,21.575000000000003,95.55000000000001,98.905,55.8325,55.25,0.0,103.0,0.0,0.0,919.25
0.2,0.15000000000000002,0.25,0.30000000000000004,21.525,71.8675,184.0,8.75,17.6,14.174999999999999,22.075000000000003,96.41,99.13,51.96,23.75,0.0,109.25,0.0,0.0,914.0
0.15000000000000002,0.2,0.25,0.35,21.025,77.0,172.75,5.5,16.55,13.975,22.1,98.275,99.62,50.114999999999995,0.0,0.0,109.75,0.0,0.0,894.5
0.15000000000000002,0.25,0.2,0.35,20.275,79.61250000000001,201.5,8.5,16.174999999999997,13.775,21.75,98.465,99.9825,50.215,0.0,0.0,102.0,0.0,0.0,889.0
0.2,0.25,0.25,0.35,19.650000000000002,88.25999999999999,160.5,2.5,15.55,13.55,21.325000000000003,98.73750000000001,100.0,51.519999999999996,0.0,0.0,87.5,0.0,0.0,858.25
0.15000000000000002,0.25,0.25,0.30000000000000004,18.950000000000003,94.2675,90.5,0.0,15.025,13.625,20.6,98.82,100.0,54.815000000000005,0.0,0.0,76.0,0.0,0.0,797.5
0.15000000000000002,0.25,0.25,0.30000000000000004,18.025,95.55000000000001,55.25,0.0,14.525,14.25,19.375,98.905,98.595,65.2125,0.0,32.5,61.5,0.0,203.75,690.25
0.15000000000000002,0.25,0.25,0.3,17.6,96.41,23.75,0.0,14.174999999999999,15.4,18.35,99.13,96.19,74.32499999999999,0.0,69.0,34.5,0.0,528.0,457.25
0.2,0.25,0.25,0.6000000000000001,16.55,98.275,0.0,0.0,13.975,16.900000000000002,15.2,99.62,89.53,77.71000000000001,0.0,87.75,0.0,0.0,690.75,0.0
0.25,0.2,0.25,0.7000000000000001,16.174999999999997,98.465,0.0,0.0,13.775,18.725,14.2,99.9825,79.6275,80.19500000000001,0.0,96.5,0.0,0.0,797.25,0.0
0.25,0.25,0.30000000000000004,0.75,15.55,98.73750000000001,0.0,0.0,13.55,20.125,13.625,100.0,67.63000000000001,82.27250000000001,0.0,102.25,0.0,0.0,857.5,0.0
0.25,0.25,0.30000000000000004,0.75,15.025,98.82,0.0,0.0,13.625,20.95,13.275,100.0,60.785,83.84,0.0,102.25,0.0,0.0,898.75,0.0
0.25,0.25,0.30000000000000004,0.75,14.525,98.905,0.0,0.0,14.25,21.575000000000003,13.05,98.595,55.8325,84.92,32.5,103.0,0.0,203.75,919.25,0.0
0.25,0.25,0.30000000000000004,0.75,14.174999999999999,99.13,0.0,0.0,15.4,22.075000000000003,12.9,96.19,51.96,87.73249999999999,69.0,109.25,0.0,528.0,914.0,0.0
0.25,0.25,0.35,0.75,13.975,99.62,0.0,0.0,16.900000000000002,22.1,12.55,89.53,50.114999999999995,90.43,87.75,109.75,0.0,690.75,894.5,0.0
0.2,0.25,0.35,0.7000000000000001,13.775,99.9825,0.0,0.0,18.725,21.75,12.1,79.6275,50.215,91.78999999999999,96.5,102.0,0.0,797.25,889.0,0.0
0.25,0.30000000000000004,0.35,0.6250000000000001,13.55,100.0,0.0,0.0,20.125,21.325000000000003,11.75,67.63000000000001,51.519999999999996,92.095,102.25,87.5,0.0,857.5,858.25,0.0
0.25,0.30000000000000004,0.30000000000000004,0.475,13.625,100.0,0.0,0.0,20.95,20.6,11.725,60.785,54.815000000000005,91.7975,102.25,76.0,0.0,898.75,797.5,0.0
0.25,0.30000000000000004,0.30000000000000004,0.3,14.25,98.595,32.5,203.75,21.575000000000003,19.375,13.375,55.8325,65.2125,86.6825,103.0,61.5,25.5,919.25,690.25,301.5
0.25,0.30000000000000004,0.3,0.30000000000000004,15.4,96.19,69.0,528.0,22.075000000000003,18.35,16.275,51.96,74.32499999999999,76.2025,109.25,34.5,62.0,914.0,457.25,587.75
0.25,0.35,0.6000000000000001,0.35,16.900000000000002,89.53,87.75,690.75,22.1,15.2,19.0,50.114999999999995,77.71000000000001,66.95750000000001,109.75,0.0,79.75,894.5,0.0,737.0
0.25,0.35,0.7000000000000001,0.25,18.725,79.6275,96.5,797.25,21.75,14.2,21.175,50.215,80.19500000000001,58.655,102.0,0.0,100.0,889.0,0.0,806.25
0.30000000000000004,0.35,0.75,0.2,20.125,67.63000000000001,102.25,857.5,21.325000000000003,13.625,22.325000000000003,51.519999999999996,82.27250000000001,52.567499999999995,87.5,0.0,192.5,858.25,0.0,672.25
0.30000000000000004,0.30000000000000004,0.75,0.25,20.95,60.785,102.25,898.75,20.6,13.275,23.05,54.815000000000005,83.84,50.55500000000001,76.0,0.0,203.0,797.5,0.0,688.25
0.30000000000000004,0.30000000000000004,0.75,0.25,21.575000000000003,55.8325,103.0,919.25,19.375,13.05,23.5,65.2125,84.92,49.38,61.5,0.0,318.0,690.25,0.0,456.0
0.30000000000000004,0.3,0.75,0.25,22.075000000000003,51.96,109.25,914.0,18.35,12.9,23.650000000000002,74.32499999999999,87.73249999999999,48.94,34.5,0.0,345.75,457.25,0.0,425.0
0.35,0.6000000000000001,0.75,0.25,22.1,50.114999999999995,109.75,894.5,15.2,12.55,23.700000000000003,77.71000000000001,90.43,49.269999999999996,0.0,0.0,341.75,0.0,0.0,422.75
0.35,0.7000000000000001,0.7000000000000001,0.2,21.75,50.215,102.0,889.0,14.2,12.1,23.6,80.19500000000001,91.78999999999999,50.540000000000006,0.0,0.0,234.5,0.0,0.0,569.75
0.35,0.75,0.6250000000000001,0.15000000000000002,21.325000000000003,51.519999999999996,87.5,858.25,13.625,11.75,23.5,82.27250000000001,92.095,52.54,0.0,0.0,105.0,0.0,0.0,801.75
0.30000000000000004,0.75,0.475,0.15000000000000002,20.6,54.815000000000005,76.0,797.5,13.275,11.725,23.275,83.84,91.7975,56.2125,0.0,0.0,108.5,0.0,0.0,591.0
0.30000000000000004,0.75,0.3,0.275,19.375,65.2125,61.5,690.25,13.05,13.375,22.325000000000003,84.92,86.6825,62.185,0.0,25.5,80.0,0.0,301.5,396.25
0.3,0.75,0.30000000000000004,0.45,18.35,74.32499999999999,34.5,457.25,12.9,16.275,20.950000000000003,87.73249999999999,76.2025,71.495,0.0,62.0,40.5,0.0,587.75,178.0
0.6000000000000001,0.75,0.35,0.75,15.2,77.71000000000001,0.0,0.0,12.55,19.0,18.075000000000003,90.43,66.95750000000001,72.9725,0.0,79.75,0.0,0.0,737.0,0.0
0.7000000000000001,0.7000000000000001,0.25,0.75,14.2,80.19500000000001,0.0,0.0,12.1,21.175,17.225,91.78999999999999,58.655,76.60000000000001,0.0,100.0,0.0,0.0,806.25,0.0
0.75,0.6250000000000001,0.2,0.7000000000000001,13.625,82.27250000000001,0.0,0.0,11.75,22.325000000000003,16.625,92.095,52.567499999999995,78.78,0.0,192.5,0.0,0.0,672.25,0.0
0.75,0.475,0.25,0.75,13.275,83.84,0.0,0.0,11.725,23.05,16.150000000000002,91.7975,50.55500000000001,79.6075,0.0,203.0,0.0,0.0,688.25,0.0
0.75,0.3,0.25,0.8,13.05,84.92,0.0,0.0,13.375,23.5,15.775,86.6825,49.38,80.4675,25.5,318.0,0.0,301.5,456.0,0.0
0.75,0.30000000000000004,0.25,0.75,12.9,87.73249999999999,0.0,0.0,16.275,23.650000000000002,15.4,76.2025,48.94,82.315,62.0,345.75,0.0,587.75,425.0,0.0
0.75,0.35,0.25,0.7250000000000001,12.55,90.43,0.0,0.0,19.0,23.700000000000003,14.95,66.95750000000001,49.269999999999996,83.89500000000001,79.75,341.75,0.0,737.0,422.75,0.0
0.7000000000000001,0.25,0.2,0.7000000000000001,12.1,91.78999999999999,0.0,0.0,21.175,23.6,14.65,58.655,50.540000000000006,86.0475,100.0,234.5,0.0,806.25,569.75,0.0
0.6250000000000001,0.2,0.15000000000000002,0.7000000000000001,11.75,92.095,0.0,0.0,22.325000000000003,23.5,14.35,52.567499999999995,52.54,88.32000000000001,192.5,105.0,0.0,672.25,801.75,0.0
0.475,0.25,0.15000000000000002,0.6000000000000001,11.725,91.7975,0.0,0.0,23.05,23.275,14.525,50.55500000000001,56.2125,89.5,203.0,108.5,0.0,688.25,591.0,0.0
0.3,0.25,0.275,0.30000000000000004,13.375,86.6825,25.5,301.5,23.5,22.325000000000003,15.875,49.38,62.185,86.805,318.0,80.0,26.0,456.0,396.25,46.75
0.30000000000000004,0.25,0.45,0.15000000000000002,16.275,76.2025,62.0,587.75,23.650000000000002,20.950000000000003,17.85,48.94,71.495,80.015,345.75,40.5,91.25,425.0,178.0,114.0
0.35,0.25,0.75,0.15000000000000002,19.0,66.95750000000001,79.75,737.0,23.700000000000003,18.075000000000003,19.625,49.269999999999996,72.9725,69.45750000000001,341.75,0.0,169.75,422.75,0.0,286.5
0.25,0.2,0.75,0.1,21.175,58.655,100.0,806.25,23.6,17.225,21.975,50.540000000000006,76.60000000000001,62.3625,234.5,0.0,241.25,569.75,0.0,291.5
0.2,0.15000000000000002,0.7000000000000001,0.15000000000000002,22.325000000000003,52.567499999999995,192.5,672.25,23.5,16.625,23.1,52.54,78.78,56.7975,105.0,0.0,287.75,801.75,0.0,356.25
0.25,0.15000000000000002,0.75,0.1,23.05,50.55500000000001,203.0,688.25,23.275,16.150000000000002,23.975,56.2125,79.6075,54.322500000000005,108.5,0.0,351.25,591.0,0.0,298.5
0.25,0.275,0.8,0.1,23.5,49.38,318.0,456.0,22.325000000000003,15.775,24.400000000000002,62.185,80.4675,53.165,80.0,0.0,402.5,396.25,0.0,296.75
0.25,0.45,0.75,0.05,23.650000000000002,48.94,345.75,425.0,20.950000000000003,15.4,24.625,71.495,82.315,52.425,40.5,0.0,386.5,178.0,0.0,300.0
0.25,0.75,0.7250000000000001,0.05,23.700000000000003,49.269999999999996,341.75,422.75,18.075000000000003,14.95,24.725,72.9725,83.89500000000001,52.345,0.0,0.0,373.75,0.0,0.0,216.5
0.2,0.75,0.7000000000000001,0.05,23.6,50.540000000000006,234.5,569.75,17.225,14.65,24.6,76.60000000000001,86.0475,53.695,0.0,0.0,306.5,0.0,0.0,321.25
0.15000000000000002,0.7000000000000001,0.7000000000000001,0.05,23.5,52.54,105.0,801.75,16.625,14.35,24.35,78.78,88.32000000000001,56.625,0.0,0.0,235.5,0.0,0.0,252.25
0.15000000000000002,0.75,0.6000000000000001,0.1,23.275,56.2125,108.5,591.0,16.150000000000002,14.525,23.7,79.6075,89.5,63.135000000000005,0.0,0.0,151.5,0.0,0.0,299.25
0.275,0.8,0.30000000000000004,0.2,22.325000000000003,62.185,80.0,396.25,15.775,15.875,21.950000000000003,80.4675,86.805,73.59,0.0,26.0,100.5,0.0,46.75,328.0
0.45,0.75,0.15000000000000002,0.35,20.950000000000003,71.495,40.5,178.0,15.4,17.85,20.6,82.315,80.015,83.83500000000001,0.0,91.25,43.75,0.0,114.0,165.75
0.75,0.7250000000000001,0.15000000000000002,0.75,18.075000000000003,72.9725,0.0,0.0,14.95,19.625,18.825000000000003,83.89500000000001,69.45750000000001,87.0125,0.0,169.75,0.0,0.0,286.5,0.0
0.75,0.7000000000000001,0.1,0.8,17.225,76.60000000000001,0.0,0.0,14.65,21.975,17.875,86.0475,62.3625,89.07,0.0,241.25,0.0,0.0,291.5,0.0
0.7000000000000001,0.7000000000000001,0.15000000000000002,0.775,16.625,78.78,0.0,0.0,14.35,23.1,17.2,88.32000000000001,56.7975,90.71000000000001,0.0,287.75,0.0,0.0,356.25,0.0
0.75,0.6000000000000001,0.1,0.75,16.150000000000002,79.6075,0.0,0.0,14.525,23.975,16.55,89.5,54.322500000000005,92.3925,0.0,351.25,0.0,0.0,298.5,0.0
0.8,0.30000000000000004,0.1,0.75,15.775,80.4675,0.0,0.0,15.875,24.400000000000002,16.05,86.805,53.165,93.87,26.0,402.5,0.0,46.75,296.75,0.0
0.75,0.15000000000000002,0.05,0.6250000000000001,15.4,82.315,0.0,0.0,17.85,24.625,15.75,80.015,52.425,94.105,91.25,386.5,0.0,114.0,300.0,0.0
0.7250000000000001,0.15000000000000002,0.05,0.6250000000000001,14.95,83.89500000000001,0.0,0.0,19.625,24.725,15.625,69.45750000000001,52.345,95.055,169.75,373.75,0.0,286.5,216.5,0.0
0.7000000000000001,0.1,0.05,0.7000000000000001,14.65,86.0475,0.0,0.0,21.975,24.6,15.6,62.3625,53.695,95.30000000000001,241.25,306.5,0.0,291.5,321.25,0.0
0.7000000000000001,0.15000000000000002,0.05,0.75,14.35,88.32000000000001,0.0,0.0,23.1,24.35,15.65,56.7975,56.625,95.24000000000001,287.75,235.5,0.0,356.25,252.25,0.0
0.6000000000000001,0.1,0.1,0.75,14.525,89.5,0.0,0.0,23.975,23.7,15.825000000000001,54.322500000000005,63.135000000000005,94.77000000000001,351.25,151.5,0.0,298.5,299.25,0.0
0.30000000000000004,0.1,0.2,0.375,15.875,86.805,26.0,46.75,24.400000000000002,21.950000000000003,16.975,53.165,73.59,91.91,402.5,100.5,21.5,296.75,328.0,119.0
0.15000000000000002,0.05,0.35,0.1,17.85,80.015,91.25,114.0,24.625,20.6,18.900000000000002,52.425,83.83500000000001,84.45750000000001,386.5,43.75,71.0,300.0,165.75,346.25
0.15000000000000002,0.05,0.75,0.05,19.625,69.45750000000001,169.75,286.5,24.725,18.825000000000003,20.525,52.345,87.0125,74.5575,373.75,0.0,123.0,216.5,0.0,416.0
0.1,0.05,0.8,0.1,21.975,62.3625,241.25,291.5,24.6,17.875,22.150000000000002,53.695,89.07,65.815,306.5,0.0,143.0,321.25,0.0,647.25
0.15000000000000002,0.05,0.775,0.15000000000000002,23.1,56.7975,287.75,356.25,24.35,17.2,23.475,56.625,90.71000000000001,61.7575,235.5,0.0,158.25,252.25,0.0,668.25
0.1,0.1,0.75,0.15000000000000002,23.975,54.322500000000005,351.25,298.5,23.7,16.55,24.45,63.135000000000005,92.3925,59.51,151.5,0.0,155.25,299.25,0.0,785.5
0.1,0.2,0.75,0.15000000000000002,24.400000000000002,53.165,402.5,296.75,21.950000000000003,16.05,25.175000000000004,73.59,93.87,58.375,100.5,0.0,179.0,328.0,0.0,786.0
0.05,0.35,0.6250000000000001,0.15000000000000002,24.625,52.425,386.5,300.0,20.6,15.75,25.775,83.83500000000001,94.105,56.705,43.75,0.0,270.5,165.75,0.0,441.5
0.05,0.75,0.6250000000000001,0.1,24.725,52.345,373.75,216.5,18.825000000000003,15.625,25.975,87.0125,95.055,56.045,0.0,0.0,257.75,0.0,0.0,400.5
0.05,0.8,0.7000000000000001,0.15000000000000002,24.6,53.695,306.5,321.25,17.875,15.6,25.650000000000002,89.07,95.30000000000001,57.3125,0.0,0.0,178.0,0.0,0.0,487.5
0.05,0.775,0.75,0.15000000000000002,24.35,56.625,235.5,252.25,17.2,15.65,25.025,90.71000000000001,95.24000000000001,61.785,0.0,0.0,208.5,0.0,0.0,241.75
0.1,0.75,0.75,0.15000000000000002,23.7,63.135000000000005,151.5,299.25,16.55,15.825000000000001,24.525,92.3925,94.77000000000001,66.61,0.0,0.0,131.75,0.0,0.0,561.75
0.2,0.75,0.375,0.3,21.950000000000003,73.59,100.5,328.0,16.05,16.975,23.95,93.87,91.91,70.805,0.0,21.5,88.25,0.0,119.0,441.0
0.35,0.6250000000000001,0.1,0.4,20.6,83.83500000000001,43.75,165.75,15.75,18.900000000000002,23.05,94.105,84.45750000000001,70.28999999999999,0.0,71.0,41.25,0.0,346.25,220.5
0.75,0.6250000000000001,0.05,0.6000000000000001,18.825000000000003,87.0125,0.0,0.0,15.625,20.525,21.325000000000003,95.055,74.5575,72.47999999999999,0.0,123.0,0.0,0.0,416.0,0.0
0.8,0.7000000000000001,0.1,0.6000000000000001,17.875,89.07,0.0,0.0,15.6,22.150000000000002,20.5,95.30000000000001,65.815,78.265,0.0,143.0,0.0,0.0,647.25,0.0
0.775,0.75,0.15000000000000002,0.75,17.2,90.71000000000001,0.0,0.0,15.65,23.475,19.450000000000003,95.24000000000001,61.7575,84.185,0.0,158.25,0.0,0.0,668.25,0.0
